nutzer_id,alter,land,abo,registriert_seit
U-0051,35.0,AT,Free,2025-11-20
U-0052,39.0,AT,Free,2022-06-25
U-0053,43.0,CH,Free,2022-07-13
U-0054,44.0,DE,Premium,2024-11-16
U-0055,42.0,AT,Premium,2024-06-27
U-0056,44.0,DE,Premium,2026-01-22
U-0057,26.0,DE,Premium,2024-04-24
U-0058,36.0,Deutschland,Free,2023-12-15
U-0059,50.0,CH,Premium,2025-04-17
U-0060,34.0,Deutschland,Free,2023-06-21
U-0061,36.0,DE,Premium,2025-05-27
U-0062,32.0,Deutschland,Free,2021-12-05
U-0063,35.0,AT,Free,2024-11-04
U-0064,49.0,DE,Premium,2022-10-05
U-0065,38.0,DE,Free,2025-07-15
U-0066,33.0,at,Free,2024-03-18
U-0067,44.0,de,Premium,2024-09-23
U-0068,43.0,de,Premium,2023-09-22
U-0069,32.0,DE,Premium,2024-01-28
U-0070,33.0,AT,Free,2025-09-12
U-0071,,DE,Premium,2023-12-23
U-0072,30.0,AT,Free,2025-03-07
U-0073,50.0,CH,Free,2024-01-09
U-0074,34.0,DE,Premium,2023-11-28
U-0075,24.0,AT,Free,2023-08-11
U-0076,33.0,DE,Premium,2024-07-16
U-0077,41.0,AT,Premium,2024-05-22
U-0078,,Österreich,Free,2025-12-20
U-0079,49.0,DE,Free,2023-09-17
U-0080,45.0,DE,Free,2021-02-15
U-0081,47.0,AT,Premium,2026-02-28
U-0082,40.0,AT,Premium,2024-01-18
U-0083,30.0,DE,Premium,2026-03-08
U-0084,53.0,DE,Premium,2025-12-04
U-0085,28.0,CH,Premium,2023-08-03
U-0086,59.0,Österreich,Premium,2026-01-16
U-0087,31.0,CH,Premium,2021-03-17
U-0088,26.0,AT,Free,2024-11-21
U-0089,58.0,AT,Premium,2024-11-09
U-0090,52.0,at,Premium,2024-05-14
U-0091,22.0,CH,Premium,2023-11-08
U-0092,40.0,AT,Free,2025-12-24
U-0093,44.0,Schweiz,Premium,2021-05-04
U-0094,33.0,Österreich,Free,2025-08-06
U-0095,44.0,DE,Premium,2023-05-27
U-0096,38.0,DE,Free,2025-02-01
U-0097,41.0,Deutschland,Premium,2025-02-25
U-0098,22.0,DE,Premium,2026-02-13
U-0099,24.0,DE,Premium,2023-10-11
U-0100,27.0,DE,Premium,2022-08-22
U-0101,27.0,DE,Premium,2024-10-03
U-0102,33.0,DE,Free,2024-02-13
U-0103,38.0,Schweiz,Free,2024-10-11
U-0104,26.0,DE,Free,2025-11-21
U-0105,48.0,CH,Premium,2026-03-12
U-0106,27.0,DE,Premium,2023-05-28
U-0107,27.0,DE,Free,2022-10-05
U-0108,40.0,DE,Free,2025-01-17
U-0109,29.0,DE,Free,2023-09-20
U-0110,50.0,Schweiz,Free,2023-08-10
U-0111,46.0,CH,Premium,2023-10-05
U-0112,32.0,DE,Free,2024-09-12
U-0113,48.0,Österreich,Free,2024-11-02
U-0114,21.0,CH,Free,2025-05-11
U-0115,26.0,AT,Free,2023-08-28
U-0116,37.0,Deutschland,Premium,2024-11-04
U-0117,33.0,AT,Premium,2024-07-09
U-0118,43.0,AT,Premium,2023-09-08
U-0119,53.0,AT,Free,2022-02-28
U-0120,32.0,AT,Free,2023-10-25
U-0121,23.0,DE,Premium,2026-02-12
U-0122,31.0,DE,Free,2024-03-01
U-0123,37.0,at,Free,2024-11-24
U-0124,38.0,de,Free,2026-01-16
U-0125,33.0,AT,Free,2021-11-26
U-0126,,DE,Premium,2023-07-10
U-0127,31.0,AT,Premium,2025-03-20
U-0128,26.0,AT,Free,2022-08-17
U-0129,26.0,AT,Free,2022-12-11
U-0130,31.0,DE,Free,2024-02-02
U-0131,25.0,DE,Free,2025-03-27
U-0132,37.0,DE,Free,2025-08-03
U-0133,29.0,DE,Free,2025-12-22
U-0134,33.0,DE,Free,2025-10-25
U-0135,24.0,AT,Free,2024-01-15
U-0136,31.0,AT,Free,2023-10-03
U-0137,38.0,CH,Premium,2026-03-16
U-0138,37.0,CH,Premium,2024-02-09
U-0139,34.0,CH,Premium,2025-02-13
U-0140,28.0,DE,Premium,2025-05-28
U-0141,28.0,Deutschland,Free,2024-07-09
U-0142,33.0,DE,Premium,2023-11-27
U-0143,30.0,Deutschland,Premium,2023-09-19
U-0144,39.0,AT,Free,2022-08-21
U-0145,26.0,DE,Premium,2025-05-19
U-0146,35.0,DE,Free,2022-02-23
U-0147,19.0,DE,Free,2024-08-28
U-0148,25.0,Deutschland,Premium,2023-10-20
U-0149,38.0,Schweiz,Free,2023-02-03
U-0150,28.0,CH,Premium,2025-08-10
U-0151,31.0,de,Premium,2022-02-17
U-0152,31.0,DE,Free,2024-02-06
U-0153,38.0,Deutschland,Premium,2024-05-26
U-0154,19.0,de,Premium,2024-06-06
U-0155,35.0,DE,Free,2023-11-15
U-0156,28.0,CH,Free,2022-12-10
U-0157,48.0,DE,Premium,2022-06-12
U-0158,25.0,AT,Free,2024-02-27
U-0159,35.0,AT,Free,2025-12-08
U-0160,22.0,DE,Free,2022-05-17
U-0161,38.0,DE,Premium,2025-07-27
U-0162,,CH,Free,2022-09-27
U-0163,54.0,ch,Free,2025-06-05
U-0164,28.0,AT,Premium,2022-11-21
U-0165,32.0,DE,Premium,2023-01-26
U-0166,30.0,CH,Premium,2024-08-15
U-0167,36.0,DE,Free,2024-03-20
U-0168,32.0,DE,Free,2022-01-08
U-0169,,DE,Free,2023-05-22
U-0170,63.0,AT,Premium,2026-01-06
U-0171,28.0,CH,Premium,2023-07-18
U-0172,36.0,AT,Free,2021-06-12
U-0173,26.0,ch,Premium,2023-05-20
U-0174,49.0,DE,Free,2025-09-20
U-0175,,AT,Premium,2025-04-03
U-0176,30.0,DE,Free,2023-03-07
U-0177,43.0,DE,Free,2023-11-25
U-0178,28.0,DE,Premium,2024-08-28
U-0179,42.0,CH,Free,2024-07-04
U-0180,25.0,DE,Free,2021-06-04
U-0181,29.0,CH,Premium,2024-02-27
U-0182,42.0,DE,Premium,2026-02-11
U-0183,29.0,DE,Free,2025-09-11
U-0184,33.0,DE,Premium,2023-10-17
U-0185,31.0,DE,Free,2026-03-24
U-0186,,de,Premium,2023-08-13
U-0187,26.0,DE,Free,2025-04-14
U-0188,36.0,AT,Free,2023-07-11
U-0189,28.0,DE,Premium,2025-06-02
U-0190,32.0,DE,Free,2026-01-25
U-0191,28.0,DE,Free,2021-11-10
U-0192,42.0,DE,Premium,2023-10-19
U-0193,42.0,CH,Premium,2024-11-08
U-0194,35.0,DE,Free,2023-10-07
U-0195,,DE,Premium,2023-06-08
U-0196,37.0,DE,Free,2022-03-07
U-0197,45.0,DE,Free,2022-08-18
U-0198,23.0,DE,Premium,2025-12-06
U-0199,27.0,AT,Free,2023-10-09
U-0200,0.0,DE,Premium,2024-02-10
U-0168,32.0,DE,Free,2022-01-08
U-0132,37.0,DE,Free,2025-08-03
U-0031,31.0,CH,Premium,2024-10-15
U-0110,50.0,Schweiz,Premium,2023-08-10
U-0163,54.0,ch,Premium,2025-06-05
U-0146,35.0,DE,Premium,2022-02-23
