stream_id,datum,wochentag,uhrzeit,nutzer_id,geraet,quelle,song_id,sekunden_gehoert
E-00023,2026-01-02,Freitag,16:09,U-0161,Desktop,Playlist,S-103,190
E-00024,2026-01-02,Freitag,18:07,U-0033,Handy,Suche,S-015,160
E-00025,2026-01-02,Freitag,18:23,U-0064,Handy,Suche,S-070,114
E-00026,2026-01-02,Freitag,18:39,U-0184,Smart Speaker,Playlist,S-086,29
E-00027,2026-01-02,Freitag,19:13,U-0056,Handy,Suche,S-044,160
E-00028,2026-01-02,Freitag,19:16,U-0145,Smart Speaker,Autoplay,S-021,5
E-00029,2026-01-02,Freitag,19:28,U-0131,Tablet,Playlist,S-015,27
E-00030,2026-01-02,Freitag,19:41,U-0153,Handy,Autoplay,S-048,18
E-00031,2026-01-02,Freitag,20:04,U-0083,Handy,Suche,S-086,339
E-00032,2026-01-02,Freitag,21:43,U-0164,Smart Speaker,Playlist,S-084,124
E-00033,2026-01-02,Freitag,21:55,U-0088,Handy,Autoplay,S-029,6
E-00034,2026-01-03,Samstag,06:36,U-0188,Desktop,Album,S-049,14
E-00035,2026-01-03,Samstag,10:58,U-0119,Desktop,Playlist,S-120,98
E-00036,2026-01-03,Samstag,12:54,U-0152,Handy,Playlist,S-033,241
E-00037,2026-01-03,Samstag,12:56,U-0063,Smart Speaker,Playlist,S-053,248
E-00038,2026-01-03,Samstag,15:15,U-0200,Smart Speaker,Autoplay,S-022,157
E-00039,2026-01-03,Samstag,15:25,U-0035,Handy,Playlist,S-096,196
E-00040,2026-01-03,Samstag,17:02,U-0037,Handy,Album,S-001,11
E-00041,2026-01-03,Samstag,17:58,U-0103,Handy,Autoplay,S-053,23
E-00042,2026-01-03,Samstag,18:10,U-0233,Handy,Autoplay,S-021,223
E-00043,2026-01-03,Samstag,18:49,U-0054,Tablet,Playlist,S-103,190
E-00044,2026-01-03,Samstag,18:55,U-0083,Handy,Playlist,S-003,9
E-00045,2026-01-03,Samstag,19:30,U-0060,Smart Speaker,Album,S-096,20
E-00046,2026-01-03,Samstag,19:32,,Handy,Autoplay,S-095,23
E-00047,2026-01-03,Samstag,20:02,U-0176,Handy,Autoplay,S-081,362
E-00048,2026-01-03,Samstag,20:02,U-0070,Tablet,Playlist,S-005,177
E-00049,2026-01-03,Samstag,20:16,U-0097,Handy,Suche,S-041,189
E-00050,2026-01-03,Samstag,21:08,U-0163,Desktop,Suche,S-009,223
E-00051,2026-01-04,Sonntag,00:48,U-0127,Desktop,Playlist,S-109,156
E-00052,2026-01-04,Sonntag,08:27,U-0080,Handy,Album,S-108,102
E-00053,2026-01-04,Sonntag,09:20,U-0037,Handy,Suche,S-031,242
E-00054,2026-01-04,Sonntag,09:34,U-0125,Handy,Autoplay,S-057,308
E-00055,2026-01-04,Sonntag,09:43,U-0178,Handy,Autoplay,S-011,16
E-00056,2026-01-04,Sonntag,10:20,U-0160,Handy,Suche,S-031,88
E-00057,2026-01-04,Sonntag,10:36,U-0083,Handy,Suche,S-096,196
E-00058,2026-01-04,Sonntag,11:03,U-0123,Handy,Suche,S-021,223
E-00059,2026-01-04,Sonntag,11:35,U-0057,Handy,Playlist,S-041,189
E-00060,2026-01-04,Sonntag,12:12,U-0020,,Playlist,S-080,145
E-00061,2026-01-04,Sonntag,13:29,U-0002,Tablet,Playlist,S-008,212
E-00062,2026-01-04,Sonntag,13:42,U-0095,Tablet,Playlist,S-078,115
E-00063,2026-01-04,Sonntag,14:34,U-0083,Tablet,Album,S-043,157
E-00064,2026-01-04,Sonntag,14:44,U-0008,Handy,Album,S-058,160
E-00065,2026-01-04,Sonntag,17:05,U-0118,Handy,Suche,S-016,80
E-00066,2026-01-04,Sonntag,17:36,U-0038,Smart Speaker,Playlist,S-096,196
E-00067,2026-01-04,Sonntag,17:39,U-0179,Tablet,Album,S-018,189
E-00068,2026-01-04,Sonntag,18:10,U-0071,Tablet,Suche,S-019,163
E-00069,2026-01-04,Sonntag,18:26,U-0070,Smart Speaker,Suche,S-052,204
E-00070,2026-01-04,Sonntag,19:14,U-0021,Smart Speaker,Playlist,S-054,61
E-00071,2026-01-04,Sonntag,20:44,U-0010,Smart Speaker,Suche,S-026,245
E-00072,2026-01-04,Sonntag,20:51,U-0151,Handy,Playlist,S-085,139
E-00073,2026-01-04,Sonntag,22:05,U-0181,Desktop,Playlist,S-088,237
E-00074,2026-01-04,Sonntag,22:05,U-0040,Handy,Suche,S-043,58
E-00075,2026-01-04,Sonntag,22:11,U-0112,Smart Speaker,Suche,S-016,205
E-00076,2026-01-04,Sonntag,22:28,U-0037,Handy,Playlist,S-019,163
E-00077,2026-01-05,Montag,05:07,U-0060,Handy,Playlist,S-092,204
E-00078,2026-01-05,Montag,07:14,U-0037,Handy,Album,S-048,285
E-00079,2026-01-05,Montag,11:34,,Desktop,Suche,S-021,223
E-00080,2026-01-05,Montag,13:00,U-0176,Handy,Autoplay,S-103,257
E-00081,2026-01-05,Montag,14:58,U-0033,Desktop,Autoplay,S-024,9
E-00082,2026-01-05,Montag,17:49,U-0063,Handy,Playlist,S-031,242
E-00083,2026-01-05,Montag,18:43,U-0158,Smart Speaker,Suche,S-105,13
E-00084,2026-01-05,Montag,19:12,U-0170,Handy,Autoplay,S-021,223
E-00085,2026-01-05,Montag,19:21,U-0153,Tablet,Playlist,S-009,19
E-00086,2026-01-05,Montag,22:25,U-0044,Handy,Playlist,S-109,317
E-00087,2026-01-05,Montag,22:26,U-0161,,Autoplay,S-005,205
E-00088,2026-01-06,Dienstag,07:59,U-0173,Handy,Suche,S-087,354
E-00089,2026-01-06,Dienstag,08:24,U-0176,Handy,Playlist,S-066,184
E-00090,2026-01-06,Dienstag,08:43,U-0040,Handy,Album,S-041,189
E-00091,2026-01-06,Dienstag,10:24,U-0065,Tablet,Autoplay,S-013,174
E-00092,2026-01-06,Dienstag,13:54,U-0049,Handy,Playlist,S-096,196
E-00093,2026-01-06,Dienstag,14:12,U-0067,Handy,Playlist,S-080,17
E-00094,2026-01-06,Dienstag,16:29,U-0031,Desktop,Suche,S-086,339
E-00095,2026-01-06,Dienstag,18:18,U-0035,Desktop,Playlist,S-116,125
E-00096,2026-01-06,Dienstag,18:24,U-0107,Handy,Playlist,S-008,16
E-00097,2026-01-06,Dienstag,19:16,U-0096,Handy,Playlist,S-061,13
E-00098,2026-01-06,Dienstag,19:35,U-0031,Tablet,Playlist,S-086,339
E-00099,2026-01-06,Dienstag,19:55,U-0058,,Playlist,S-009,223
E-00100,2026-01-06,Dienstag,21:28,U-0143,handy,Album,S-031,146
E-00101,2026-01-06,Dienstag,21:37,U-0095,Handy,Playlist,S-018,50
E-00102,2026-01-06,Dienstag,22:17,U-0010,Tablet,Album,S-041,154
E-00103,2026-01-06,Dienstag,22:29,U-0045,Handy,Album,S-062,27
E-00104,2026-01-06,Dienstag,23:55,U-0107,Handy,Autoplay,S-046,273
E-00105,2026-01-07,Mittwoch,03:25,U-0070,Handy,Album,S-101,253
E-00106,2026-01-07,Mittwoch,07:10,U-0122,Tablet,Album,S-011,164
E-00107,2026-01-07,Mittwoch,07:27,U-0077,Handy,Suche,S-059,308
E-00108,2026-01-07,Mittwoch,07:54,U-0075,Handy,Playlist,S-047,196
E-00109,2026-01-07,Mittwoch,08:01,U-0165,Desktop,Autoplay,S-041,13
E-00110,2026-01-07,Mittwoch,08:08,U-0146,Handy,Playlist,S-028,12
E-00111,2026-01-07,Mittwoch,08:11,U-0077,Handy,Album,S-046,5
E-00112,2026-01-07,Mittwoch,10:52,U-0080,Desktop,Playlist,S-062,254
E-00113,2026-01-07,Mittwoch,16:42,U-0164,Handy,Playlist,S-018,189
E-00114,2026-01-07,Mittwoch,16:51,U-0058,Desktop,Playlist,S-008,212
E-00115,2026-01-07,Mittwoch,17:15,U-0159,Desktop,Playlist,S-028,195
E-00116,2026-01-07,Mittwoch,18:00,,Handy,Suche,S-053,248
E-00117,2026-01-07,Mittwoch,19:46,U-0152,Handy,Playlist,S-105,202
E-00118,2026-01-07,Mittwoch,20:13,U-0119,Handy,Autoplay,S-103,190
E-00119,2026-01-07,Mittwoch,20:33,U-0156,Tablet,Playlist,S-120,442
E-00119,2026-01-07,Mittwoch,20:33,U-0156,Tablet,Playlist,S-120,442
E-00120,2026-01-07,Mittwoch,20:34,U-0117,Desktop,Album,S-023,173
E-00121,2026-01-07,Mittwoch,21:45,U-0103,Handy,Autoplay,S-011,164
E-00122,2026-01-07,Mittwoch,22:09,U-0107,Desktop,Playlist,S-041,189
E-00123,2026-01-07,Mittwoch,22:37,U-0030,Desktop,Playlist,S-053,172
E-00124,2026-01-08,Donnerstag,04:37,U-0066,Handy,Playlist,S-092,127
E-00125,2026-01-08,Donnerstag,06:43,U-0007,Handy,Playlist,S-018,19
E-00126,2026-01-08,Donnerstag,08:49,U-0156,Handy,Suche,S-047,264
E-00127,2026-01-08,Donnerstag,09:21,U-0072,Handy,Autoplay,S-061,27
E-00128,2026-01-08,Donnerstag,09:33,U-0064,Handy,Autoplay,S-041,143
E-00129,2026-01-08,Donnerstag,09:55,U-0109,Handy,Playlist,S-086,42
E-00130,2026-01-08,Donnerstag,11:08,U-0029,Desktop,Suche,S-016,205
E-00131,2026-01-08,Donnerstag,12:22,U-0036,Smart Speaker,Autoplay,S-047,264
E-00132,2026-01-08,Donnerstag,12:23,U-0051,Handy,Playlist,S-086,6
E-00133,2026-01-08,Donnerstag,12:33,U-0189,Desktop,Playlist,S-032,5
E-00134,2026-01-08,Donnerstag,13:01,U-0112,Handy,Autoplay,S-004,88
E-00135,2026-01-08,Donnerstag,13:18,U-0111,Handy,Playlist,S-011,8
E-00136,2026-01-08,Donnerstag,13:20,U-0010,Desktop,Suche,S-065,223
E-00137,2026-01-08,Donnerstag,13:22,U-0054,Smart Speaker,Album,S-105,202
E-00138,2026-01-08,Donnerstag,14:44,U-0111,Handy,Playlist,S-078,58
E-00139,2026-01-08,Donnerstag,15:28,U-0010,Desktop,Album,S-078,28
E-00140,2026-01-08,Donnerstag,16:44,U-0033,Desktop,Playlist,S-093,148
E-00141,2026-01-08,Donnerstag,17:39,U-0102,Smart Speaker,Album,S-004,22
E-00142,2026-01-08,Donnerstag,18:48,U-0104,Tablet,Playlist,S-105,202
E-00143,2026-01-08,Donnerstag,18:53,U-0076,Desktop,Autoplay,S-078,19
E-00144,2026-01-08,Donnerstag,19:09,U-0124,,Autoplay,S-096,196
E-00145,2026-01-08,Donnerstag,19:23,U-0009,,Playlist,S-046,4
E-00146,2026-01-08,Donnerstag,19:30,U-0105,Handy,Album,S-011,8
E-00147,2026-01-09,Freitag,05:39,U-0165,Handy,Suche,S-020,162
E-00148,2026-01-09,Freitag,06:45,U-0118,Handy,Album,S-046,273
E-00149,2026-01-09,Freitag,07:26,U-0094,Handy,Playlist,S-031,82
E-00150,2026-01-09,Freitag,08:00,U-0107,Handy,Playlist,S-020,162
E-00151,2026-01-09,Freitag,08:06,U-0058,Handy,Album,S-004,18
E-00152,2026-01-09,Freitag,08:49,U-0110,Handy,Suche,S-062,26
E-00153,2026-01-09,Freitag,09:03,U-0049,Handy,Suche,S-004,156
E-00154,2026-01-09,Freitag,09:11,,Tablet,Playlist,S-056,127
E-00155,2026-01-09,Freitag,09:39,U-0133,Desktop,Autoplay,S-078,147
E-00156,2026-01-09,Freitag,09:55,U-0032,,Playlist,S-078,148
E-00157,2026-01-09,Freitag,10:50,U-0116,Handy,Playlist,S-020,90
E-00158,2026-01-09,Freitag,11:24,U-0200,Desktop,Album,S-096,37
E-00159,2026-01-09,Freitag,14:01,U-0192,Smart Speaker,Album,S-077,242
E-00160,2026-01-09,Freitag,14:44,U-0092,Smart Speaker,Playlist,S-055,166
E-00161,2026-01-09,Freitag,16:55,U-0016,Desktop,Autoplay,S-026,20
E-00162,2026-01-09,Freitag,17:07,,Smart Speaker,Autoplay,S-092,24
E-00163,2026-01-09,Freitag,17:10,U-0054,Smart Speaker,Playlist,S-019,137
E-00164,2026-01-09,Freitag,17:35,U-0081,Handy,Suche,S-096,196
E-00165,2026-01-09,Freitag,17:47,U-0145,Handy,Suche,S-056,204
E-00166,2026-01-09,Freitag,17:54,U-0092,Tablet,Autoplay,S-041,72
E-00167,2026-01-09,Freitag,17:58,U-0133,Smart Speaker,Playlist,S-004,42
E-00168,2026-01-09,Freitag,18:07,U-0170,Tablet,Album,S-108,367
E-00168,2026-01-09,Freitag,18:07,U-0170,Tablet,Album,S-108,367
E-00169,2026-01-09,Freitag,18:18,U-0037,Smart Speaker,Playlist,S-100,110
E-00170,2026-01-09,Freitag,19:02,U-0143,Smart Speaker,Playlist,S-026,245
E-00171,2026-01-09,Freitag,20:07,U-0037,Smart Speaker,Playlist,S-083,200
E-00172,2026-01-09,Freitag,20:20,U-0184,Tablet,Album,S-041,189
E-00173,2026-01-09,Freitag,20:48,U-0156,Handy,Album,S-078,208
E-00174,2026-01-09,Freitag,22:59,U-0157,,Album,S-041,189
E-00175,2026-01-09,Freitag,23:54,U-0115,Tablet,Album,S-004,156
E-00176,2026-01-10,Samstag,05:45,U-0112,Handy,Autoplay,S-018,18
E-00177,2026-01-10,Samstag,07:36,U-0173,Tablet,Autoplay,S-001,26
E-00178,2026-01-10,Samstag,07:54,,Handy,Playlist,S-116,116
E-00179,2026-01-10,Samstag,09:00,U-0200,Handy,Suche,S-041,189
E-00180,2026-01-10,Samstag,09:22,,,Autoplay,S-031,242
E-00181,2026-01-10,Samstag,10:48,U-0135,Handy,Playlist,S-041,189
E-00182,2026-01-10,Samstag,10:57,U-0038,Tablet,Suche,S-010,158
E-00183,2026-01-10,Samstag,12:09,U-0179,Handy,Playlist,S-092,204
E-00184,2026-01-10,Samstag,13:01,U-0087,Handy,Album,S-041,189
E-00185,2026-01-10,Samstag,14:36,U-0188,Handy,Autoplay,S-052,23
E-00186,2026-01-10,Samstag,17:27,U-0155,Handy,Playlist,S-014,201
E-00187,2026-01-10,Samstag,17:30,U-0023,Handy,Playlist,S-031,37
E-00188,2026-01-10,Samstag,19:00,U-0103,Smart Speaker,Autoplay,S-078,27
E-00189,2026-01-10,Samstag,19:08,U-0151,Smart Speaker,Playlist,S-053,25
E-00190,2026-01-10,Samstag,19:33,U-0001,Smart Speaker,Suche,S-092,204
E-00191,2026-01-10,Samstag,19:53,U-0021,Handy,Autoplay,S-059,308
E-00192,2026-01-10,Samstag,19:59,U-0038,Smart Speaker,Autoplay,S-057,29
E-00193,2026-01-10,Samstag,20:21,U-0035,Smart Speaker,Playlist,S-111,105
E-00194,2026-01-10,Samstag,20:49,U-0080,Handy,Suche,S-041,189
E-00195,2026-01-11,Sonntag,07:24,U-0027,Desktop,Suche,S-004,156
E-00196,2026-01-11,Sonntag,09:54,U-0095,Handy,Album,S-096,5
E-00197,2026-01-11,Sonntag,10:25,U-0047,Desktop,Suche,S-114,183
E-00198,2026-01-11,Sonntag,11:16,U-0167,Handy,Album,S-085,16
E-00199,2026-01-11,Sonntag,12:19,U-0107,Handy,Album,S-041,189
E-00200,2026-01-11,Sonntag,13:02,U-0200,Smart Speaker,Suche,S-116,312
E-00201,2026-01-11,Sonntag,17:10,U-0020,Tablet,Playlist,S-041,13
E-00202,2026-01-11,Sonntag,17:52,U-0037,Handy,Album,S-092,204
E-00203,2026-01-11,Sonntag,18:24,U-0065,Desktop,Playlist,S-032,239
E-00204,2026-01-11,Sonntag,18:28,U-0035,Handy,Album,S-092,204
E-00205,2026-01-11,Sonntag,18:55,U-0105,Desktop,Suche,S-047,264
E-00206,2026-01-11,Sonntag,22:02,U-0038,Smart Speaker,Album,S-031,158
E-00207,2026-01-11,Sonntag,22:15,U-0126,Tablet,Album,S-029,14
E-00208,2026-01-12,Montag,06:33,U-0064,Handy,Album,S-057,308
E-00209,2026-01-12,Montag,08:13,U-0111,Handy,Playlist,S-068,94
E-00210,2026-01-12,Montag,08:17,,Smart Speaker,Album,S-086,211
E-00211,2026-01-12,Montag,08:21,U-0110,Handy,Autoplay,S-105,105
E-00212,2026-01-12,Montag,09:04,U-0151,Handy,Album,S-042,189
E-00213,2026-01-12,Montag,09:58,U-0054,Handy,Playlist,S-031,49
E-00214,2026-01-12,Montag,11:18,U-0055,Desktop,Autoplay,S-107,132
E-00215,2026-01-12,Montag,13:07,U-0052,Smart Speaker,Autoplay,S-117,12
E-00216,2026-01-12,Montag,13:09,,Handy,Playlist,S-004,156
E-00217,2026-01-12,Montag,14:07,U-0058,Handy,Playlist,S-011,22
E-00218,2026-01-12,Montag,14:32,U-0056,Desktop,Playlist,S-078,208
E-00219,2026-01-12,Montag,16:28,U-0103,Desktop,Autoplay,S-082,93
E-00220,2026-01-12,Montag,17:24,U-0141,Smart Speaker,Autoplay,S-011,164
E-00221,2026-01-12,Montag,17:59,U-0156,Smart Speaker,Playlist,S-088,237
E-00222,2026-01-12,Montag,18:17,U-0004,Handy,Suche,S-114,364
E-00223,2026-01-12,Montag,18:19,U-0011,handy,Playlist,S-095,240
E-00224,2026-01-12,Montag,19:35,U-0068,Handy,Album,S-056,26
E-00225,2026-01-12,Montag,21:54,U-0014,Smart Speaker,Playlist,S-078,11
E-00226,2026-01-12,Montag,21:55,U-0052,Handy,Album,S-057,308
E-00227,2026-01-12,Montag,22:48,U-0085,Handy,Playlist,S-037,226
E-00228,2026-01-12,Montag,23:15,U-0014,Tablet,Playlist,S-031,242
E-00229,2026-01-13,Dienstag,07:03,U-0063,Desktop,Playlist,S-011,164
E-00230,2026-01-13,Dienstag,07:20,U-0063,Tablet,Suche,S-014,201
E-00231,2026-01-13,Dienstag,08:10,U-0100,Handy,Autoplay,S-054,19
E-00232,2026-01-13,Dienstag,08:15,U-0077,Handy,Autoplay,S-058,327
E-00233,2026-01-13,Dienstag,08:16,U-0138,Desktop,Suche,S-041,189
E-00234,2026-01-13,Dienstag,12:42,U-0060,Desktop,Playlist,S-096,22
E-00235,2026-01-13,Dienstag,13:33,U-0181,Handy,Playlist,S-032,12
E-00236,2026-01-13,Dienstag,13:54,U-0135,Desktop,Playlist,S-042,8
E-00237,2026-01-13,Dienstag,16:43,U-0151,Handy,Album,S-100,71
E-00238,2026-01-13,Dienstag,19:37,U-0071,Smart Speaker,Playlist,S-036,194
E-00239,2026-01-13,Dienstag,20:13,U-0076,Handy,Album,S-054,200
E-00240,2026-01-13,Dienstag,20:48,U-0027,Handy,Playlist,S-013,174
E-00241,2026-01-13,Dienstag,21:19,U-0179,Smart Speaker,Playlist,S-023,173
E-00242,2026-01-13,Dienstag,22:30,,Tablet,Autoplay,S-021,223
E-00243,2026-01-14,Mittwoch,02:42,U-0103,Handy,Album,S-075,118
E-00244,2026-01-14,Mittwoch,09:22,U-0161,Handy,Suche,S-023,173
E-00245,2026-01-14,Mittwoch,10:26,U-0049,Smart Speaker,Playlist,S-041,189
E-00246,2026-01-14,Mittwoch,10:58,U-0051,Desktop,Suche,S-007,210
E-00247,2026-01-14,Mittwoch,11:49,U-0112,Desktop,Playlist,S-041,19
E-00248,2026-01-14,Mittwoch,13:33,U-0091,Tablet,Album,S-074,281
E-00249,2026-01-14,Mittwoch,16:10,U-0176,Smart Speaker,Suche,S-007,210
E-00250,2026-01-14,Mittwoch,17:43,U-0021,Smart Speaker,Autoplay,S-102,179
E-00251,2026-01-14,Mittwoch,20:50,U-0058,Handy,Autoplay,S-070,17
E-00252,2026-01-14,Mittwoch,22:44,U-0023,Handy,Playlist,S-074,281
E-00253,2026-01-15,Donnerstag,08:53,U-0141,Tablet,Playlist,S-004,156
E-00254,2026-01-15,Donnerstag,10:35,U-0153,Handy,Album,S-026,245
E-00255,2026-01-15,Donnerstag,11:39,U-0124,Handy,Autoplay,S-036,194
E-00256,2026-01-15,Donnerstag,12:17,U-0009,Desktop,Suche,S-096,196
E-00257,2026-01-15,Donnerstag,12:55,U-0134,Handy,Autoplay,S-062,7
E-00258,2026-01-15,Donnerstag,13:23,U-0175,Desktop,Album,S-066,260
E-00259,2026-01-15,Donnerstag,14:45,U-0141,Handy,Album,S-041,189
E-00260,2026-01-15,Donnerstag,15:49,U-0176,Desktop,Playlist,S-092,16
E-00261,2026-01-15,Donnerstag,16:35,U-0021,Handy,Playlist,S-005,190
E-00262,2026-01-15,Donnerstag,17:23,U-0104,Handy,Autoplay,S-046,273
E-00263,2026-01-15,Donnerstag,19:34,U-0001,Smart Speaker,Playlist,S-003,181
E-00264,2026-01-15,Donnerstag,19:36,U-0189,Handy,Playlist,S-031,242
E-00265,2026-01-15,Donnerstag,20:15,U-0068,Handy,Playlist,S-114,237
E-00266,2026-01-15,Donnerstag,20:26,U-0045,Smart Speaker,Album,S-095,240
E-00267,2026-01-15,Donnerstag,22:48,U-0028,Smart Speaker,Playlist,S-007,20
E-00268,2026-01-16,Freitag,07:00,U-0170,Desktop,Album,S-119,25
E-00269,2026-01-16,Freitag,07:24,U-0156,Desktop,Autoplay,S-066,142
E-00270,2026-01-16,Freitag,08:01,U-0097,Handy,Album,S-105,202
E-00271,2026-01-16,Freitag,08:17,U-0051,Handy,Playlist,S-078,208
E-00272,2026-01-16,Freitag,09:43,U-0077,Handy,Album,S-052,18
E-00273,2026-01-16,Freitag,11:36,U-0233,Handy,Suche,S-104,201
E-00274,2026-01-16,Freitag,13:49,U-0038,Handy,Suche,S-062,302
E-00275,2026-01-16,Freitag,14:23,U-0049,Smart Speaker,Playlist,S-029,181
E-00276,2026-01-16,Freitag,15:17,U-0069,Handy,Playlist,S-114,391
E-00277,2026-01-16,Freitag,16:26,U-0169,Desktop,Playlist,S-021,131
E-00278,2026-01-16,Freitag,16:36,U-0200,Desktop,Album,S-079,184
E-00279,2026-01-16,Freitag,17:40,U-0080,Smart Speaker,Playlist,S-066,260
E-00280,2026-01-16,Freitag,18:04,U-0071,Smart Speaker,Autoplay,S-004,156
E-00281,2026-01-16,Freitag,18:17,U-0098,Desktop,Autoplay,S-086,16
E-00282,2026-01-16,Freitag,19:31,U-0107,Handy,Suche,S-023,114
E-00283,2026-01-16,Freitag,19:37,U-0143,Smart Speaker,Playlist,S-037,226
E-00284,2026-01-16,Freitag,20:00,U-0048,Tablet,Playlist,S-060,205
E-00285,2026-01-16,Freitag,20:32,,Handy,Playlist,S-066,191
E-00286,2026-01-16,Freitag,20:53,U-0132,Handy,Suche,S-096,196
E-00287,2026-01-16,Freitag,21:07,U-0063,Handy,Playlist,S-001,223
E-00288,2026-01-16,Freitag,21:13,U-0019,Desktop,Suche,S-023,52
E-00289,2026-01-16,Freitag,22:01,U-0152,Handy,Autoplay,S-087,29
E-00290,2026-01-17,Samstag,05:44,U-0104,Tablet,Autoplay,S-033,241
E-00291,2026-01-17,Samstag,06:09,U-0170,Tablet,Album,S-058,327
E-00292,2026-01-17,Samstag,08:12,U-0005,Desktop,Playlist,S-105,202
E-00293,2026-01-17,Samstag,08:19,U-0170,Tablet,Autoplay,S-109,317
E-00294,2026-01-17,Samstag,08:21,U-0037,Handy,Playlist,S-078,67
E-00295,2026-01-17,Samstag,08:34,U-0084,Handy,Playlist,S-082,207
E-00296,2026-01-17,Samstag,08:48,U-0107,Handy,Playlist,S-104,6
E-00296,2026-01-17,Samstag,08:48,U-0107,Handy,Playlist,S-104,6
E-00297,2026-01-17,Samstag,09:55,U-0084,Handy,Playlist,S-062,302
E-00298,2026-01-17,Samstag,10:51,U-0178,Handy,Autoplay,S-032,180
E-00299,2026-01-17,Samstag,12:20,U-0106,Handy,Playlist,S-073,223
E-00300,2026-01-17,Samstag,12:27,U-0117,Smart Speaker,Playlist,S-057,308
E-00301,2026-01-17,Samstag,12:59,U-0123,Handy,Album,S-068,16
E-00302,2026-01-17,Samstag,13:01,U-0095,Handy,Suche,S-051,261
E-00303,2026-01-17,Samstag,14:12,U-0021,Handy,Playlist,S-016,10
E-00304,2026-01-17,Samstag,14:39,U-0032,Smart Speaker,Autoplay,S-090,19
E-00305,2026-01-17,Samstag,15:52,U-0008,Handy,Suche,S-080,176
E-00306,2026-01-17,Samstag,18:01,U-0059,Desktop,Suche,S-105,202
E-00307,2026-01-17,Samstag,18:18,U-0176,Tablet,Playlist,S-001,223
E-00308,2026-01-17,Samstag,18:39,U-0064,Handy,Playlist,S-036,114
E-00309,2026-01-17,Samstag,18:52,U-0063,Desktop,Autoplay,S-114,8
E-00310,2026-01-17,Samstag,19:06,U-0143,Tablet,Playlist,S-011,164
E-00311,2026-01-17,Samstag,20:11,U-0110,Smart Speaker,Playlist,S-001,130
E-00312,2026-01-17,Samstag,21:47,U-0013,Tablet,Suche,S-026,208
E-00313,2026-01-17,Samstag,22:35,U-0103,Desktop,Playlist,S-078,123
E-00314,2026-01-17,Samstag,22:45,U-0164,Smart Speaker,Album,S-056,57
E-00315,2026-01-17,Samstag,23:01,U-0155,Smart Speaker,Playlist,S-080,115
E-00316,2026-01-18,Sonntag,03:32,U-0037,Smart Speaker,Album,S-070,319
E-00317,2026-01-18,Sonntag,06:23,U-0063,Handy,Playlist,S-062,152
E-00318,2026-01-18,Sonntag,07:30,U-0072,Handy,Album,S-008,45
E-00319,2026-01-18,Sonntag,08:08,U-0079,Handy,Autoplay,S-029,18
E-00320,2026-01-18,Sonntag,08:50,U-0065,Handy,Autoplay,S-041,31
E-00321,2026-01-18,Sonntag,10:10,U-0151,Tablet,Album,S-086,339
E-00322,2026-01-18,Sonntag,10:55,U-0057,Handy,Autoplay,S-021,223
E-00323,2026-01-18,Sonntag,10:56,U-0153,Tablet,Playlist,S-091,216
E-00324,2026-01-18,Sonntag,13:10,U-0044,,Autoplay,S-009,223
E-00325,2026-01-18,Sonntag,13:23,U-0111,Handy,Suche,S-011,10
E-00326,2026-01-18,Sonntag,13:50,U-0114,Handy,Album,S-033,241
E-00327,2026-01-18,Sonntag,15:02,U-0037,Desktop,Playlist,S-036,194
