stream_id,datum,wochentag,uhrzeit,nutzer_id,song_id,gehoert_sek,geraet,quelle
E-02088,2026-04-01,Mittwoch,08:03,U-0007,s-004,156,Tablet,Playlist
E-02089,2026-04-01,Mittwoch,08:14,U-0009,S-100,256,handy,Playlist
E-02090,2026-04-01,Mittwoch,08:21,U-0031,s-035,169,Tablet,Suche
E-02091,2026-04-01,Mittwoch,09:13,U-0063,S-066,9,Handy,Playlist
E-02092,2026-04-01,Mittwoch,09:29,U-0091,S-001,223,Desktop,Playlist
E-02093,2026-04-01,Mittwoch,11:59,U-0176,s-105,202,Tablet,Album
E-02094,2026-04-01,Mittwoch,12:06,,S-021,223,Handy,Autoplay
E-02095,2026-04-01,Mittwoch,14:27,U-0058,S-004,156,,Autoplay
E-02096,2026-04-01,Mittwoch,15:06,U-0111,S-097,28,Handy,Autoplay
E-02097,2026-04-01,Mittwoch,15:12,U-0200,s-105,110,Tablet,Album
E-02098,2026-04-01,Mittwoch,16:00,U-0170,S-120,442,Handy,Suche
E-02099,2026-04-01,Mittwoch,16:42,U-0026,S-043,157,Desktop,Playlist
E-02100,2026-04-01,Mittwoch,16:51,U-0149,S-070,319,Handy,Album
E-02101,2026-04-01,Mittwoch,17:04,U-0063,S-064,16,Desktop,Playlist
E-02102,2026-04-01,Mittwoch,17:21,U-0188,S-109,36,Handy,Playlist
E-02103,2026-04-01,Mittwoch,17:34,,S-011,164,Smart Speaker,Suche
E-02104,2026-04-01,Mittwoch,17:43,U-0160,s-041,189,Tablet,Playlist
E-02105,2026-04-01,Mittwoch,18:25,U-0175,S-120,412,handy,Playlist
E-02106,2026-04-01,Mittwoch,19:02,U-0151,S-021,223,Smart Speaker,Autoplay
E-02107,2026-04-01,Mittwoch,19:07,U-0047,S-078,208,Handy,Album
E-02108,2026-04-01,Mittwoch,19:56,U-0073,s-087,29,Tablet,Playlist
E-02109,2026-04-01,Mittwoch,20:42,U-0199,S-047,28,Handy,Playlist
E-02110,2026-04-01,Mittwoch,21:21,U-0041,S-041,9,Smart Speaker,Autoplay
E-02111,2026-04-01,Mittwoch,21:59,U-0013,s-100,256,Tablet,Album
E-02112,2026-04-01,Mittwoch,22:04,U-0136,S-041,30,Handy,Playlist
E-02113,2026-04-01,Mittwoch,22:07,U-0063,s-109,25,Tablet,Suche
E-02114,2026-04-01,Mittwoch,22:19,U-0161,S-045,191,Handy,Playlist
E-02115,2026-04-01,Mittwoch,22:24,U-0071,S-042,189,,Suche
E-02116,2026-04-01,Mittwoch,22:45,U-0181,s-119,331,Tablet,Playlist
E-02117,2026-04-01,Mittwoch,23:20,U-0037,S-010,158,Handy,Autoplay
E-02118,2026-04-02,Donnerstag,06:39,U-0122,S-021,14,Handy,Suche
E-02119,2026-04-02,Donnerstag,07:05,U-0069,S-096,46,Handy,Playlist
E-02120,2026-04-02,Donnerstag,07:34,U-0021,S-090,21,,Playlist
E-02121,2026-04-02,Donnerstag,07:35,U-0141,S-015,160,Handy,Album
E-02122,2026-04-02,Donnerstag,07:55,U-0103,S-088,237,Handy,Playlist
E-02123,2026-04-02,Donnerstag,07:55,U-0192,S-082,134,Handy,Suche
E-02124,2026-04-02,Donnerstag,09:05,U-0099,S-031,242,Handy,Album
E-02125,2026-04-02,Donnerstag,09:21,U-0169,S-004,156,Handy,Album
E-02126,2026-04-02,Donnerstag,09:51,U-0151,S-060,205,Smart Speaker,Playlist
E-02127,2026-04-02,Donnerstag,09:57,,S-090,44,handy,Playlist
E-02128,2026-04-02,Donnerstag,10:20,U-0156,S-013,28,Handy,Playlist
E-02129,2026-04-02,Donnerstag,11:12,U-0067,S-041,35,Handy,Suche
E-02130,2026-04-02,Donnerstag,12:31,U-0021,S-062,302,Handy,Autoplay
E-02131,2026-04-02,Donnerstag,12:39,U-0051,S-096,16,Handy,Album
E-02132,2026-04-02,Donnerstag,12:47,U-0008,s-062,302,Tablet,Album
E-02133,2026-04-02,Donnerstag,13:18,U-0200,S-097,195,Desktop,Playlist
E-02134,2026-04-02,Donnerstag,13:18,U-0076,S-024,221,handy,Album
E-02135,2026-04-02,Donnerstag,13:48,U-0135,S-020,162,Handy,Suche
E-02136,2026-04-02,Donnerstag,14:43,U-0104,S-041,189,Smart Speaker,Playlist
E-02137,2026-04-02,Donnerstag,15:02,U-0176,S-064,241,Handy,Autoplay
E-02138,2026-04-02,Donnerstag,15:09,U-0015,S-065,191,Desktop,Suche
E-02139,2026-04-02,Donnerstag,15:26,U-0189,s-041,39,Tablet,Suche
E-02140,2026-04-02,Donnerstag,15:50,U-0144,S-064,241,Desktop,Playlist
E-02141,2026-04-02,Donnerstag,16:16,U-0081,S-011,164,Handy,Album
E-02142,2026-04-02,Donnerstag,17:53,U-0003,S-103,150,Handy,Suche
E-02143,2026-04-02,Donnerstag,19:15,U-0191,S-064,24,Handy,Autoplay
E-02144,2026-04-02,Donnerstag,19:32,,S-077,22,Desktop,Suche
E-02145,2026-04-02,Donnerstag,19:32,U-0195,S-059,308,Smart Speaker,Autoplay
E-02146,2026-04-02,Donnerstag,19:39,U-0155,s-008,212,Tablet,Album
E-02147,2026-04-02,Donnerstag,20:05,U-0083,s-011,67,Tablet,Suche
E-02148,2026-04-02,Donnerstag,20:07,U-0107,S-012,212,,Autoplay
E-02149,2026-04-02,Donnerstag,21:38,U-0181,s-077,242,Tablet,Suche
E-02150,2026-04-02,Donnerstag,21:59,,S-045,191,Handy,Autoplay
E-02151,2026-04-02,Donnerstag,22:42,U-0108,S-011,11,Smart Speaker,Playlist
E-02152,2026-04-02,Donnerstag,23:32,U-0087,S-081,26,Handy,Playlist
E-02153,2026-04-03,Freitag,03:13,U-0070,S-055,316,Handy,Suche
E-02154,2026-04-03,Freitag,05:16,U-0090,S-014,201,Handy,Suche
E-02155,2026-04-03,Freitag,06:06,U-0029,S-011,15,Handy,Playlist
E-02156,2026-04-03,Freitag,06:44,U-0040,S-021,223,Smart Speaker,Album
E-02157,2026-04-03,Freitag,07:18,U-0036,S-021,206,Desktop,Album
E-02158,2026-04-03,Freitag,07:40,U-0106,S-041,16,Smart Speaker,Playlist
E-02159,2026-04-03,Freitag,08:29,U-0037,S-078,208,Handy,Playlist
E-02160,2026-04-03,Freitag,08:50,U-0005,S-088,160,Handy,Playlist
E-02161,2026-04-03,Freitag,09:36,U-0063,S-041,189,Handy,Playlist
E-02162,2026-04-03,Freitag,10:28,U-0095,S-001,21,Handy,Suche
E-02163,2026-04-03,Freitag,10:38,U-0149,s-012,212,Tablet,Playlist
E-02164,2026-04-03,Freitag,11:04,U-0022,S-021,223,Handy,Playlist
E-02165,2026-04-03,Freitag,11:18,U-0103,S-086,339,Handy,Autoplay
E-02166,2026-04-03,Freitag,11:37,,S-029,22,Smart Speaker,Autoplay
E-02167,2026-04-03,Freitag,13:12,U-0150,S-036,24,Desktop,Autoplay
E-02168,2026-04-03,Freitag,13:16,U-0070,S-105,202,Desktop,Suche
E-02169,2026-04-03,Freitag,13:25,U-0146,S-001,223,Desktop,Autoplay
E-02170,2026-04-03,Freitag,13:48,U-0070,S-046,189,Desktop,Suche
E-02171,2026-04-03,Freitag,14:20,U-0170,S-057,308,Desktop,Playlist
E-02172,2026-04-03,Freitag,14:24,,S-042,189,Handy,Suche
E-02173,2026-04-03,Freitag,14:35,U-0122,S-072,296,Desktop,Playlist
E-02174,2026-04-03,Freitag,14:46,U-0156,S-100,256,Handy,Playlist
E-02175,2026-04-03,Freitag,15:04,U-0030,S-011,7,Desktop,Autoplay
E-02176,2026-04-03,Freitag,15:10,U-0037,S-018,124,Desktop,Suche
E-02177,2026-04-03,Freitag,16:05,U-0028,s-028,80,Tablet,Playlist
E-02178,2026-04-03,Freitag,16:29,U-0118,S-021,223,Desktop,Album
E-02179,2026-04-03,Freitag,17:50,U-0103,S-005,205,Handy,Suche
E-02180,2026-04-03,Freitag,18:15,U-0107,S-037,226,Handy,Album
E-02181,2026-04-03,Freitag,18:40,U-0170,S-046,273,Handy,Suche
E-02182,2026-04-03,Freitag,19:28,U-0046,s-021,223,Tablet,Album
E-02183,2026-04-03,Freitag,19:33,U-0132,S-053,248,Desktop,Suche
E-02184,2026-04-03,Freitag,19:53,U-0088,S-064,241,Smart Speaker,Autoplay
E-02185,2026-04-03,Freitag,20:13,U-0110,S-064,241,Desktop,Autoplay
E-02186,2026-04-03,Freitag,20:20,U-0010,S-116,13,Smart Speaker,Playlist
E-02187,2026-04-03,Freitag,20:30,U-0049,S-032,57,Desktop,Suche
E-02188,2026-04-03,Freitag,20:43,U-0182,S-062,24,Handy,Playlist
E-02189,2026-04-03,Freitag,21:21,U-0104,s-096,33,Tablet,Playlist
E-02190,2026-04-03,Freitag,21:51,,S-064,241,Handy,Autoplay
E-02191,2026-04-03,Freitag,22:00,U-0095,s-062,19,Tablet,Autoplay
E-02192,2026-04-03,Freitag,22:34,,s-026,192,Tablet,Autoplay
E-02193,2026-04-04,Samstag,06:56,U-0045,S-059,218,Handy,Playlist
E-02194,2026-04-04,Samstag,07:04,U-0037,S-033,241,Handy,Suche
E-02195,2026-04-04,Samstag,07:04,U-0081,S-096,169,Handy,Playlist
E-02196,2026-04-04,Samstag,07:09,U-0007,S-011,164,Handy,Suche
E-02197,2026-04-04,Samstag,07:15,U-0038,S-044,160,Handy,Playlist
E-02198,2026-04-04,Samstag,07:24,U-0152,S-078,13,Handy,Album
E-02199,2026-04-04,Samstag,08:32,U-0083,S-022,157,Smart Speaker,Album
E-02200,2026-04-04,Samstag,09:00,U-0143,S-031,27,Handy,Suche
E-02201,2026-04-04,Samstag,09:36,U-0031,S-047,145,Desktop,Playlist
E-02202,2026-04-04,Samstag,09:47,U-0189,S-008,212,Handy,Suche
E-02203,2026-04-04,Samstag,10:06,U-0083,S-098,37,Handy,Playlist
E-02204,2026-04-04,Samstag,10:24,U-0022,S-031,242,Handy,Album
E-02205,2026-04-04,Samstag,10:26,U-0102,S-032,239,Smart Speaker,Autoplay
E-02206,2026-04-04,Samstag,12:04,U-0025,S-055,316,Handy,Album
E-02207,2026-04-04,Samstag,12:10,U-0108,S-096,27,Handy,Suche
E-02208,2026-04-04,Samstag,13:09,U-0103,S-011,116,Desktop,Autoplay
E-02209,2026-04-04,Samstag,13:58,U-0054,S-019,17,Handy,Playlist
E-02210,2026-04-04,Samstag,14:31,U-0102,S-041,4,handy,Playlist
E-02211,2026-04-04,Samstag,14:44,U-0118,S-055,316,Handy,Album
E-02212,2026-04-04,Samstag,14:46,U-0011,S-119,25,Handy,Album
E-02213,2026-04-04,Samstag,16:18,U-0108,S-050,31,Handy,Autoplay
E-02214,2026-04-04,Samstag,16:48,U-0024,S-055,217,Handy,Playlist
E-02215,2026-04-04,Samstag,16:55,U-0151,S-110,9999,Handy,Playlist
E-02216,2026-04-04,Samstag,16:58,U-0051,s-041,148,Tablet,Playlist
E-02217,2026-04-04,Samstag,16:59,U-0097,S-114,416,Desktop,Album
E-02218,2026-04-04,Samstag,17:20,U-0176,S-064,14,Smart Speaker,Suche
E-02219,2026-04-04,Samstag,18:11,U-0172,S-057,158,Desktop,Playlist
E-02220,2026-04-04,Samstag,18:20,U-0188,S-041,18,Smart Speaker,Playlist
E-02221,2026-04-04,Samstag,18:45,U-0037,s-026,192,Tablet,Playlist
E-02222,2026-04-04,Samstag,18:50,U-0101,S-037,226,Handy,Album
E-02223,2026-04-04,Samstag,19:29,U-0088,S-041,104,Desktop,Autoplay
E-02224,2026-04-04,Samstag,19:59,U-0161,S-018,52,Smart Speaker,Playlist
E-02225,2026-04-04,Samstag,20:03,U-0095,S-037,226,Handy,Album
E-02226,2026-04-04,Samstag,20:11,U-0063,s-100,256,Tablet,Suche
E-02227,2026-04-04,Samstag,20:18,U-0196,S-036,17,Handy,Playlist
E-02228,2026-04-04,Samstag,20:18,,S-004,8,Smart Speaker,Playlist
E-02229,2026-04-04,Samstag,20:44,U-0063,S-056,204,Smart Speaker,Suche
E-02230,2026-04-04,Samstag,21:13,U-0124,S-089,230,Smart Speaker,Playlist
E-02231,2026-04-04,Samstag,21:27,U-0054,s-005,205,Tablet,Suche
E-02232,2026-04-04,Samstag,22:32,U-0156,S-110,444,Smart Speaker,Playlist
E-02233,2026-04-04,Samstag,22:36,U-0058,s-011,82,Tablet,Autoplay
E-02234,2026-04-04,Samstag,22:46,U-0072,S-069,112,Handy,Album
E-02235,2026-04-04,Samstag,22:51,U-0147,S-092,204,Handy,Playlist
E-02236,2026-04-05,Sonntag,08:01,U-0037,S-087,149,Handy,Playlist
E-02237,2026-04-05,Sonntag,08:06,U-0073,S-007,159,Handy,Autoplay
E-02238,2026-04-05,Sonntag,08:22,U-0131,S-030,213,Handy,Album
E-02239,2026-04-05,Sonntag,08:26,U-0111,S-020,60,Handy,Album
E-02240,2026-04-05,Sonntag,08:33,U-0161,S-021,210,Desktop,Playlist
E-02241,2026-04-05,Sonntag,08:54,U-0010,S-011,164,Handy,Autoplay
E-02242,2026-04-05,Sonntag,09:11,U-0152,S-032,104,Handy,Suche
E-02243,2026-04-05,Sonntag,09:33,U-0023,S-032,239,Handy,Playlist
E-02244,2026-04-05,Sonntag,09:37,U-0030,S-041,6,Handy,Autoplay
E-02245,2026-04-05,Sonntag,09:41,U-0038,S-097,124,Handy,Suche
E-02246,2026-04-05,Sonntag,10:33,U-0058,S-053,248,Handy,Suche
E-02247,2026-04-05,Sonntag,10:42,U-0040,s-087,354,Tablet,Autoplay
E-02248,2026-04-05,Sonntag,10:51,,S-103,21,Handy,Playlist
E-02249,2026-04-05,Sonntag,10:53,U-0058,S-092,37,Desktop,Playlist
E-02250,2026-04-05,Sonntag,11:17,U-0148,S-062,28,Desktop,Autoplay
E-02251,2026-04-05,Sonntag,12:02,U-0108,s-096,170,Tablet,Autoplay
E-02252,2026-04-05,Sonntag,12:28,U-0063,S-050,246,Desktop,Playlist
E-02253,2026-04-05,Sonntag,12:56,U-0069,S-085,253,Handy,Playlist
E-02254,2026-04-05,Sonntag,13:17,U-0063,S-101,253,Handy,Suche
E-02255,2026-04-05,Sonntag,14:28,U-0031,s-031,242,Tablet,Album
E-02256,2026-04-05,Sonntag,14:38,U-0066,s-055,259,Tablet,Playlist
E-02257,2026-04-05,Sonntag,17:15,U-0040,S-092,116,Handy,Album
E-02258,2026-04-05,Sonntag,17:19,U-0199,S-082,207,Handy,Autoplay
E-02259,2026-04-05,Sonntag,18:41,U-0070,S-064,10,Handy,Playlist
E-02260,2026-04-05,Sonntag,18:44,U-0163,s-109,6,Tablet,Suche
E-02261,2026-04-05,Sonntag,18:46,,S-013,174,Smart Speaker,Playlist
E-02262,2026-04-05,Sonntag,19:45,U-0183,S-021,210,Desktop,Playlist
E-02263,2026-04-05,Sonntag,19:50,U-0103,S-082,207,Smart Speaker,Playlist
E-02264,2026-04-05,Sonntag,19:51,U-0094,S-053,14,Handy,Autoplay
E-02265,2026-04-05,Sonntag,20:06,U-0152,S-011,164,Smart Speaker,Suche
E-02266,2026-04-05,Sonntag,20:16,U-0030,s-011,164,Tablet,Playlist
E-02267,2026-04-05,Sonntag,20:25,U-0087,S-062,302,Desktop,Playlist
E-02268,2026-04-05,Sonntag,21:00,U-0044,S-047,264,Handy,Suche
E-02269,2026-04-05,Sonntag,21:54,U-0122,S-031,242,Handy,Album
E-02270,2026-04-05,Sonntag,23:02,U-0058,S-066,6,Desktop,Autoplay
E-02271,2026-04-05,Sonntag,23:19,U-0135,S-030,36,Handy,Autoplay
E-02272,2026-04-06,Montag,05:24,U-0095,S-096,180,Handy,Playlist
E-02273,2026-04-06,Montag,05:59,U-0117,S-062,72,,Playlist
E-02274,2026-04-06,Montag,06:23,U-0020,S-096,196,Handy,Playlist
E-02275,2026-04-06,Montag,06:25,U-0040,S-031,242,Handy,Autoplay
E-02276,2026-04-06,Montag,08:29,U-0139,S-041,4,Handy,Playlist
E-02277,2026-04-06,Montag,08:55,,S-024,221,Handy,Autoplay
E-02278,2026-04-06,Montag,09:11,U-0063,S-061,233,Handy,Autoplay
E-02279,2026-04-06,Montag,10:55,U-0176,S-102,9999,Desktop,Playlist
E-02280,2026-04-06,Montag,11:04,U-0007,S-078,208,Handy,Playlist
E-02281,2026-04-06,Montag,11:13,U-0173,s-007,136,Tablet,Playlist
E-02282,2026-04-06,Montag,12:50,U-0058,S-014,201,Desktop,Album
E-02283,2026-04-06,Montag,13:39,U-0007,s-036,194,Tablet,Autoplay
E-02284,2026-04-06,Montag,14:01,U-0097,S-066,246,Desktop,Playlist
E-02285,2026-04-06,Montag,14:09,U-0119,S-062,17,Desktop,Autoplay
E-02286,2026-04-06,Montag,14:18,U-0141,s-064,241,Tablet,Playlist
E-02287,2026-04-06,Montag,14:49,U-0161,S-036,194,Desktop,Album
E-02288,2026-04-06,Montag,15:14,U-0063,S-047,264,Desktop,Autoplay
E-02289,2026-04-06,Montag,15:42,U-0181,S-011,164,Desktop,Playlist
E-02290,2026-04-06,Montag,16:48,U-0074,S-024,221,Handy,Autoplay
E-02291,2026-04-06,Montag,17:21,U-0049,S-014,75,Handy,Autoplay
E-02292,2026-04-06,Montag,17:42,U-0181,S-074,281,Handy,Album
E-02293,2026-04-06,Montag,17:45,U-0052,S-005,205,Smart Speaker,Autoplay
E-02294,2026-04-06,Montag,17:50,U-0096,s-011,9,Tablet,Autoplay
E-02295,2026-04-06,Montag,18:04,U-0191,S-088,237,Desktop,Playlist
E-02296,2026-04-06,Montag,18:55,U-0017,S-078,208,Smart Speaker,Playlist
E-02297,2026-04-06,Montag,19:17,U-0127,S-035,67,Smart Speaker,Playlist
E-02298,2026-04-06,Montag,19:48,U-0023,S-041,14,Handy,Suche
E-02299,2026-04-06,Montag,19:53,U-0047,S-088,237,handy,Playlist
E-02300,2026-04-06,Montag,19:55,U-0058,S-002,152,Handy,Playlist
E-02301,2026-04-06,Montag,20:27,U-0140,s-120,222,Tablet,Playlist
E-02302,2026-04-06,Montag,21:12,U-0103,s-002,47,Tablet,Playlist
E-02303,2026-04-06,Montag,21:54,U-0063,S-061,207,Handy,Playlist
E-02304,2026-04-06,Montag,21:54,U-0031,S-076,86,Smart Speaker,Autoplay
E-02305,2026-04-06,Montag,22:01,U-0179,S-019,163,handy,Playlist
E-02306,2026-04-06,Montag,22:32,U-0021,S-002,12,Desktop,Album
E-02307,2026-04-06,Montag,23:17,U-0071,S-032,239,Handy,Playlist
E-02308,2026-04-07,Dienstag,06:42,U-0138,S-056,204,Handy,Album
E-02309,2026-04-07,Dienstag,07:13,U-0161,s-096,96,Tablet,Autoplay
E-02310,2026-04-07,Dienstag,08:41,U-0104,S-096,5,Handy,Autoplay
E-02311,2026-04-07,Dienstag,08:41,U-0169,S-012,13,Desktop,Playlist
E-02312,2026-04-07,Dienstag,10:15,U-0110,S-107,9,Desktop,Playlist
E-02313,2026-04-07,Dienstag,10:34,U-0069,S-070,3,Smart Speaker,Autoplay
E-02314,2026-04-07,Dienstag,10:57,U-0079,S-088,13,Desktop,Autoplay
E-02315,2026-04-07,Dienstag,11:35,U-0127,S-015,160,,Playlist
E-02316,2026-04-07,Dienstag,13:08,U-0063,S-001,223,handy,Playlist
E-02317,2026-04-07,Dienstag,14:07,U-0124,S-093,134,Desktop,Autoplay
E-02318,2026-04-07,Dienstag,14:55,U-0056,S-002,152,Desktop,Album
E-02319,2026-04-07,Dienstag,16:53,U-0027,S-041,3,Handy,Playlist
E-02320,2026-04-07,Dienstag,17:08,U-0152,S-041,17,Smart Speaker,Autoplay
E-02321,2026-04-07,Dienstag,17:11,U-0200,S-018,12,Handy,Suche
E-02322,2026-04-07,Dienstag,17:12,U-0077,S-062,302,Handy,Suche
E-02323,2026-04-07,Dienstag,17:12,U-0177,s-002,49,Tablet,Playlist
E-02324,2026-04-07,Dienstag,18:49,U-0102,s-101,253,Tablet,Autoplay
E-02325,2026-04-07,Dienstag,19:14,U-0103,S-082,207,Handy,Suche
E-02326,2026-04-07,Dienstag,19:24,U-0135,s-067,5,Tablet,Playlist
E-02327,2026-04-07,Dienstag,19:42,U-0045,S-021,206,Handy,Playlist
E-02328,2026-04-07,Dienstag,19:43,U-0167,S-031,13,Handy,Autoplay
E-02329,2026-04-07,Dienstag,20:05,U-0058,s-002,94,Tablet,Autoplay
E-02330,2026-04-07,Dienstag,20:08,U-0063,S-078,208,Smart Speaker,Album
E-02331,2026-04-07,Dienstag,20:09,U-0049,S-014,37,Handy,Playlist
E-02332,2026-04-07,Dienstag,20:51,U-0040,s-001,163,Tablet,Playlist
E-02333,2026-04-07,Dienstag,20:59,U-0116,S-008,22,Handy,Playlist
E-02334,2026-04-07,Dienstag,21:53,U-0086,S-109,3,Handy,Autoplay
E-02335,2026-04-07,Dienstag,22:33,U-0023,S-041,115,Smart Speaker,Playlist
E-02336,2026-04-07,Dienstag,22:46,U-0167,S-002,152,Smart Speaker,Autoplay
E-02337,2026-04-08,Mittwoch,07:20,U-0044,S-010,11,Handy,Autoplay
E-02338,2026-04-08,Mittwoch,07:33,U-0042,S-001,223,Handy,Playlist
E-02339,2026-04-08,Mittwoch,07:41,U-0063,S-002,152,Handy,Autoplay
E-02340,2026-04-08,Mittwoch,07:53,U-0072,s-062,14,Tablet,Autoplay
E-02341,2026-04-08,Mittwoch,08:01,U-0099,S-080,196,Handy,Playlist
E-02342,2026-04-08,Mittwoch,09:10,U-0103,S-062,302,Handy,Playlist
E-02343,2026-04-08,Mittwoch,09:21,U-0052,S-041,189,Handy,Autoplay
E-02344,2026-04-08,Mittwoch,11:38,U-0157,S-068,235,Desktop,Playlist
E-02345,2026-04-08,Mittwoch,11:53,U-0111,S-016,205,Desktop,Playlist
E-02346,2026-04-08,Mittwoch,13:12,U-0102,s-096,66,Tablet,Playlist
E-02347,2026-04-08,Mittwoch,13:33,U-0166,S-002,36,Desktop,Album
E-02348,2026-04-08,Mittwoch,14:34,U-0194,S-031,149,Desktop,Playlist
E-02349,2026-04-08,Mittwoch,15:26,U-0057,S-021,223,,Suche
E-02350,2026-04-08,Mittwoch,15:42,U-0099,S-078,3,Handy,Autoplay
E-02351,2026-04-08,Mittwoch,15:50,U-0051,S-011,164,Desktop,Playlist
E-02352,2026-04-08,Mittwoch,16:10,U-0087,S-027,111,Desktop,Autoplay
E-02353,2026-04-08,Mittwoch,17:36,,S-057,308,Handy,Playlist
E-02354,2026-04-08,Mittwoch,17:59,U-0025,S-031,4,Handy,Autoplay
E-02355,2026-04-08,Mittwoch,18:19,U-0135,S-046,273,Handy,Playlist
E-02356,2026-04-08,Mittwoch,18:22,U-0060,S-024,22,Smart Speaker,Playlist
E-02357,2026-04-08,Mittwoch,18:40,U-0105,s-078,5,Tablet,Suche
E-02358,2026-04-08,Mittwoch,18:47,U-0047,S-062,177,Handy,Playlist
E-02359,2026-04-08,Mittwoch,18:51,U-0141,S-024,91,Handy,Playlist
E-02360,2026-04-08,Mittwoch,18:58,U-0049,s-091,184,Tablet,Album
E-02361,2026-04-08,Mittwoch,19:29,U-0105,S-108,262,Smart Speaker,Suche
E-02362,2026-04-08,Mittwoch,20:03,U-0001,s-038,207,Tablet,Playlist
E-02363,2026-04-08,Mittwoch,20:07,U-0010,S-064,202,Handy,Playlist
E-02364,2026-04-08,Mittwoch,20:37,U-0032,s-041,189,Tablet,Album
E-02365,2026-04-08,Mittwoch,20:47,U-0046,s-064,45,Tablet,Playlist
E-02366,2026-04-08,Mittwoch,21:13,U-0049,S-062,302,Smart Speaker,Suche
E-02367,2026-04-08,Mittwoch,22:20,U-0073,S-002,152,Smart Speaker,Suche
E-02368,2026-04-08,Mittwoch,22:44,U-0060,S-031,242,Smart Speaker,Playlist
E-02369,2026-04-08,Mittwoch,23:57,U-0170,S-064,150,Desktop,Suche
E-02370,2026-04-09,Donnerstag,07:14,U-0037,S-021,223,handy,Suche
E-02371,2026-04-09,Donnerstag,07:22,U-0062,S-026,94,Handy,Suche
E-02372,2026-04-09,Donnerstag,07:59,U-0038,S-064,241,Handy,Playlist
E-02373,2026-04-09,Donnerstag,08:16,U-0021,S-031,21,Handy,Suche
E-02374,2026-04-09,Donnerstag,09:34,U-0156,S-096,196,Smart Speaker,Autoplay
E-02375,2026-04-09,Donnerstag,12:12,U-0152,S-107,284,Desktop,Playlist
E-02376,2026-04-09,Donnerstag,13:17,U-0192,S-013,174,Desktop,Album
E-02377,2026-04-09,Donnerstag,13:29,U-0111,s-069,5,Tablet,Album
E-02378,2026-04-09,Donnerstag,14:55,U-0037,S-072,11,Smartphone,Playlist
E-02379,2026-04-09,Donnerstag,15:05,U-0155,S-041,189,Handy,Autoplay
E-02380,2026-04-09,Donnerstag,16:48,U-0186,S-020,28,,Suche
E-02381,2026-04-09,Donnerstag,17:00,U-0041,S-012,185,Desktop,Album
