song_id;titel;kuenstler;genre;laenge;erscheinungsjahr;label
S-050;Kettenhund;Basalt;Rock;5:32;2020;Hafenkante
S-051;Steinschlag;Basalt;Rock;4:21;2021;Pulsar Media
S-052;Halbschatten;Hale & Sturm;Rock;3:24;2018;Nordton Records
S-053;Freischwimmer;Hale & Sturm;Rock;4:08;2019;Pulsar Media
S-054;Sperrstunde;Hale & Sturm;Rock;5:01;2019;Grüne Welle
S-055;Zwischen uns;Fabrik 12;Rock;5:16;2019;Hafenkante
S-056;Rostlaube;Fabrik 12;Rock;3:24;2022;Pulsar Media
S-057;Nordwärts;Fabrik 12;Rock;5:08;2020;Kaltwasser Musik
S-058;Brandung;Grauwal;Rock;5:27;2018;Pulsar Media
S-059;Gewitterfront;Grauwal;Rock;5:08;2014;Pulsar Media
S-060;Sturmwarnung;Grauwal;Rock;3:25;2023;Nordton Records
S-061;Regenbogenstaub;Schwester Rost;Rock;5:18;2020;Hafenkante
S-062;Schlagseite;Schwester Rost;Rock;5:02;2017;Pulsar Media
S-063;Flimmern;Schwester Rost;Rock;4:58;2019;Hafenkante
S-064;Tonspur;Kiesbett;Rock;4:01;2026;
S-064;Tonspur;Kiesbett;Rock;4:01;2026;
S-065;Bruchlandung;Kiesbett;Rock;3:43;2024;
S-066;Eisenzeit;Kiesbett;Rock;4:20;2025;
S-067;Funkenflug;Vektor;Electronic;4:12;2014;Hafenkante
S-068;Nachtflug;Vektor;Electronic;3:55;2018;Grüne Welle
S-069;Bruchstück;Vektor;Electronic;5:13;2022;Grüne Welle
S-070;Barfuß;Nachtmodus;electronic;5:19;2017;Pulsar Media
S-071;Datenstrom;Nachtmodus;Electronic;4:16;2020;Kaltwasser Musik
S-072;Halbleiter;Nachtmodus;Electronic;4:56;2018;Grüne Welle
S-073;Tiefsee;Aera;Electronic;3:43;2023;Kaltwasser Musik
S-074;Impuls;Aera;Electronic;4:41;2025;Pulsar Media
S-075;Lichtjahre;Aera;Elektro;5:56;2024;Grüne Welle
S-076;Laserfeld;Lumen Drift;Electronic;5:59;2021;Kaltwasser Musik
S-076;Laserfeld;Lumen Drift;Electronic;5:59;2021;Kaltwasser Musik
S-077;Sog;Lumen Drift;Electronic;4:02;2015;Grüne Welle
S-078;Kondensstreifen;Lumen Drift;Electronic;3:28;2025;Grüne Welle
S-079;Stromkreis;Modul 9;Electronic;3:57;2014;Hafenkante
S-080;Polarlicht;Modul 9;Electronic;3:16;2017;Nordton Records
S-081;Orbit;Modul 9;electronic;6:02;2017;Pulsar Media
S-082;Zeitraffer;Sina Kessler;Electronic;3:27;2022;Kaltwasser Musik
S-083;Schwerelos;Sina Kessler;electronic;3:20;2019;Kaltwasser Musik
S-084;Treibgut;Sina Kessler;Elektro;3:25;2015;Grüne Welle
S-085;Nebelwand;Polar Pulse;Electronic;4:13;2014;
S-086;Frequenz;Polar Pulse;Electronic;5:39;2021;
S-087;Nullpunkt;Polar Pulse;Electronic;5:54;2019;
S-089;Fluchtpunkt;Papierboot;Indie;3:50;2020;Hafenkante
S-090;Hinterhof;Papierboot;Indie;3:59;2024;Nordton Records
S-091;Bahnsteig;Frida Mohn;Indie;3:36;2025;Pulsar Media
S-092;Morgengrau;Frida Mohn;Indie;3:24;2016;Pulsar Media
S-093;Untiefe;Frida Mohn;Indie;3:31;2025;Grüne Welle
S-094;Schrebergarten;Kollektiv Ost;Indie;3:31;2023;Grüne Welle
S-095;Fahrradkeller;Kollektiv Ost;Indie;4:00;2021;Kaltwasser Musik
S-096;Lagerfeuer;Kollektiv Ost;Indie;3:16;2021;Kaltwasser Musik
S-097;Wolkenbruch;Halbmond;Indie;3:15;2020;
S-098;Altglas;Halbmond;Indie;4:17;2025;
S-099;Nachbarn;Halbmond;Indie;4:35;2016;
S-100;Landregen;Jonas Ferber;Indie;4:16;2021;Pulsar Media
S-101;Fensterplatz;Jonas Ferber;Indie;4:13;2023;Grüne Welle
S-102;Vinyl;Jonas Ferber;Indie;3:50;2015;Hafenkante
S-103;Kastanie;Tiefgang;Indie;4:17;2021;
S-104;Stromab;Tiefgang;Indie;3:21;2018;
S-105;Sonntag;Tiefgang;Indie;3:22;2023;
S-106;Spätvorstellung;Otto Reims Trio;Jazz;5:12;2014;Pulsar Media
S-107;Kellerbar;Otto Reims Trio;Jazz;5:01;2021;Nordton Records
S-108;Seitwärts;Otto Reims Trio;Jazz;6:07;2024;Kaltwasser Musik
S-109;Sonntagsbraten;Blaue Marlene;Jazz;5:17;2021;Grüne Welle
S-110;Blaue Stunde;Blaue Marlene;Jazz;7:24;2017;Kaltwasser Musik
S-111;Nachbrenner;Blaue Marlene;Jazz;4:06;2021;Grüne Welle
S-112;Fieber;Samt;Jazz;6:09;2018;Kaltwasser Musik
S-113;Klartext;Samt;Jazz;6:01;2022;Kaltwasser Musik
S-114;Samtpfote;Samt;Jazz;6:56;2015;Kaltwasser Musik
S-115;Zugabe;Quartett Nordwind;Jazz;5:41;2017;Pulsar Media
S-116;Weißes Rauschen;Quartett Nordwind;Jazz;5:12;2014;Hafenkante
S-117;Herbstblatt;Quartett Nordwind;Jazz;5:31;2015;Pulsar Media
S-118;Mondsichel;Ida Lorenz;Jazz;7:20;2020;
S-119;Improvisation Nr. 3;Ida Lorenz;Jazz;5:31;2016;
S-120;Nachtcafé;Ida Lorenz;Jazz;7:22;2020;
